OBJECTID,state,FIPS,county,latitude,longitude,USFS_Acre_A1,Other_Acre_A1,USFS_BDT_A1,Other_BDT_A1,Total_BDT_A1,TotalBDT_A1_Yr,USFS_Acre_A2,Other_Acre_A2,USFS_BDT_A2,Other_BDT_A2,Total_BDT_A2,TotalBDT_A2_Yr,USFS_Acre_A3,Other_Acre_A3,USFS_BDT_A3,Other_BDT_A3,Total_BDT_A3,TotalBDT_A3_Yr,USFS_Acre_A4,Other_Acre_A4,USFS_BDT_A4,Other_BDT_A4,Total_BDT_A4,TotalBDT_A4_Yr,USFS_Acre_A5,Other_Acre_A5,USFS_BDT_A5,Other_BDT_A5,Total_BDT_A5,TotalBDT_A5_Yr,USFS_Acre_A6,Other_Acre_A6,USFS_BDT_A6,Other_BDT_A6,Total_BDT_A6,TotalBDT_A6_Yr,Total_Acreage,Total_BDT
241,CA,6109,Tuolumne,38.021451,-119.964708,51302,55490.6,1335291.1,1281408.6,2616699.7,261670,24637.7,26649.3,641272.6,615395.6,1256668.2,125666.8,32402.4,35047.9,843371.8,809339.6,1652711.4,165271.1,74299.2,80365.5,1933864.4,1855827.8,3789692.2,378969.2,35682.1,38595.5,928737,891260,1819997,181999.7,46927.5,50758.9,1221431.6,1172143.6,2393575.2,239357.5,552158.65,13529343.67
238,CA,6103,Tehama,40.126156,-122.232276,39502,75058.7,1271008.3,980623.7,2251632,225163.2,28717.7,54567.2,924014.5,712906.9,1636921.4,163692.1,54753.2,104037.7,1761724.3,1359226.9,3120951.2,312095.1,36877.1,70070.9,1186547.8,915459.7,2102007.6,210200.8,26809.4,50941.1,862612.3,665533.1,1528145.5,152814.5,51114.7,97124.2,1644655,1268904.2,2913559.2,291355.9,689573.99,13553216.84
1613,MT,30029,Flathead,48.314696,-114.054319,88128.4,54084.6,1237151.4,615603.2,1852754.6,185275.5,71994.6,44183.3,1010664.1,502903.8,1513567.9,151356.8,164071.6,100691.2,2303246.8,1146089.5,3449336.3,344933.6,89181.4,54730.9,1251933.5,622958.8,1874892.2,187489.2,72854.8,44711.2,1022740.1,508912.7,1531652.8,153165.3,166032,101894.3,2330767.2,1159783.5,3490550.7,349055.1,1052558.09,13712754.53
2964,WA,53019,Ferry,48.437246,-118.517074,43327.4,74214.3,760529.6,1257936.6,2018466.2,201846.6,29044.5,49749.6,509821,843257.8,1353078.9,135307.9,49234.3,84332,864213.6,1429432.8,2293646.4,229364.6,61755.7,105779.6,1084003.4,1792971.2,2876974.6,287697.5,41398,70909.4,726661.7,1201918.3,1928580,192858,70175,120200.7,1231787.1,2037409.3,3269196.3,326919.6,800120.5,13739942.4
99,AZ,4005,Coconino,35.829692,-111.773728,229225.1,129052.1,2119465,667850.2,2787315.2,278731.5,241677.4,136062.7,2234601.9,704130.2,2938732.1,293873.2,474059.2,266892,4383254,1381177.4,5764431.4,576443.1,50334.2,28337.8,465401.4,146649.5,612050.8,61205.1,53068.6,29877.2,490683.6,154616,645299.6,64530,104096,58605.3,962494,303285,1265779,126577.9,1801287.64,14013608.16
217,CA,6061,Placer,39.062032,-120.722718,82649.5,72388.4,2409264.7,1735031.6,4144296.3,414429.6,45150.8,39545.3,1316163.7,947835.1,2263998.8,226399.9,37843.2,33144.9,1103144.6,794429.4,1897573.9,189757.4,57709.6,50544.9,1682259,1211478.5,2893737.5,289373.7,31526.4,27612.3,919005.8,661821.9,1580827.7,158082.8,26423.9,23143.3,770266.1,554707,1324973,132497.3,527682.37,14105407.23
569,ID,16035,Clearwater,46.67257,-115.6535,35673.7,33765.1,874351.1,670260.2,1544611.3,154461.1,33461.8,31671.4,820136.4,628700.3,1448836.7,144883.7,52647.9,49831,1290381.4,989180.8,2279562.2,227956.2,59822.7,56622,1466235.3,1123986.9,2590222.2,259022.2,56113.4,53111.2,1375320.4,1054293.4,2429613.8,242961.4,88287.4,83563.7,2163893.6,1658798,3822691.6,382269.2,634571.31,14115537.82
591,ID,16079,Shoshone,47.347694,-115.885092,18123,-999,477590.3,-999,477590.3,47759,33938.2,-999,894364.6,-999,894364.6,89436.5,51484.9,-999,1356767.4,-999,1356767.4,135676.7,77027.2,-999,2029877.9,-999,2029877.9,202987.8,144245.8,-999,3801272.4,-999,3801272.4,380127.2,218823.6,-999,5766599.6,-999,5766599.6,576660,543642.66,14326472.09
2220,OR,41023,Grant,44.496326,-119.014057,205307.2,50284.8,2786631.7,409620.4,3196252.1,319625.2,102281,25051.2,1388258.5,204066.8,1592325.3,159232.5,177452.4,43462.5,2408558.9,354045.7,2762604.6,276260.5,216090.2,52925.9,2932989.4,431134.3,3364123.6,336412.4,107652.9,26366.9,1461171.7,214784.7,1675956.4,167595.6,186772.4,45745.2,2535059.7,372640.7,2907700.4,290770,1239392.58,15498962.41
2987,WA,53065,Stevens,48.390648,-117.854897,39948.3,198043.4,827117.6,2953463.8,3780581.4,378058.1,11967.9,59330.8,247791.9,884812.9,1132604.8,113260.5,36086.2,178896.7,747152.4,2667924.7,3415077.1,341507.7,34455.6,170813.2,713392.1,2547373.6,3260765.6,326076.6,10322.4,51173,213721.4,763154.5,976875.9,97687.6,31124.4,154299.1,644421.7,2301095.1,2945516.8,294551.7,976460.96,15511421.58
