STATE_NAME,Percent Removal,facility index,feedstock cost,transportation cost,capital cost,operating cost,production cost,access_,CO2_transp cost,CO2_inject cost,total_D:K,revenue,net cost,uptake,land_use_c,soil,grow_harve,transport,conversion,captured,CO2_tran_1,bio_use,total_bio1,conv_use,CDR million tons CO2,Cost $/tCO2,product_units,scale_factor , Plant type ,index_,facility index,latitude,longitude,Barley_str,Citrus_res,Corn_stove,Cotton_gin,Cotton_res,Noncitrus_,Oats_straw,Rice_hulls,Rice_straw,Sorghum_st,Sugarcane_,Sugarcane1,Tree_nut_r,Wheat_stra,Hardwood_l,Hardwood_1,Hardwood_u,Hardwood_2,Mixedwood_,Mixedwood1,Other_fore,Other_fo_1,PNW_Forest,PNW_Fore_1,PNW_Fore_2,PNW_Fore_3,PNW_Fore_4,PNW_Fore_5,PNW_forest_sum,Primary_mi,Secondary_,Softwood_n,Softwood_1,Softwood_p,Softwood_2,Softwood_sum,Constructi,Municipal_,Other_muni,Paper_and_,Switchgras,total_softwood
Wyoming,90,108581,135583195.3,72209197.56,189511909.1,65321126.12,38285687.03,0,0,13285446.52,514196561.6,281272097.8,232924463.8,0,0,0,94535.12965,29576.76052,0,2657089.303,0,0,-2532977.413,0,2532977.413,91.9568,484688532.7,5, BiCRS 2050 gasification H2 ,753,108581,42.86541376,-105.9114851,0,0,1417691.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10682,0,0,0,0,0,0,0,0,1311,3952,77050,0,0,81002,6947,0,0,7083.509499,288585.4391,81002
Wyoming,99,108581,135767960.9,68377613.3,189511909.1,65321126.12,38285687.03,0,0,13285446.52,510549743,281272097.8,229277645.2,0,0,0,94535.12965,27460.12891,0,2657089.303,0,0,-2535094.045,0,2535094.045,90.4415,484688532.7,5, BiCRS 2050 gasification H2 ,1028,108581,42.86541376,-105.9114851,0,0,1417691.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10682,0,0,0,0,0,0,0,0,1311,3952,77050,0,0,81002,6947,0,0,7083.509499,288585.4391,81002
Wyoming,75,108581,130871406,76624774.9,189511909.1,65321126.12,38391068.69,0,0,13329890.65,514050175.5,283818726.7,230231448.8,0,0,0,92093.92053,31429.68655,0,2665978.13,0,0,-2542454.523,0,2542454.523,90.5548,485961847.1,5, BiCRS 2050 gasification H2 ,497,108581,42.86541376,-105.9114851,0,0,1501977.785,0,0,28,0,0,0,0,0,0,0,0,0,0,1129,358,0,0,0,37914,0,0,0,0,0,0,0,0,1393,3952,77050,0,0,81002,9949,0,0,9996.141388,169555.1803,81002
Colorado,25,165680,45667916.43,41551968.7,189511909.1,65321126.12,37258449.36,0,0,15423355.72,394734725.5,271923305.1,122811420.3,0,0,0,84876.5367,22400.70918,0,2570559.286,0,0,-2463282.04,0,2463282.04,49.8568,480014136.4,5, BiCRS 2050 gasification H2 ,36,165680,38.44088924,-104.4064239,23732,0,314291.5031,3,14,414,0,0,0,4378,0,0,0,435167.4357,1974,0,0,0,0,0,0,11777,0,0,0,0,0,0,0,435,6901,54300,28404,0,0,82704,73152,0,0,82863.99221,775495.1755,82704
New Mexico,90,183236,149626979.2,60048699.68,189511909.1,65321126.12,38345181.94,0,0,13307775.67,516161671.8,273822716.7,242338955.1,0,0,0,65365.26691,32464.19173,0,2661555.134,0,0,-2563725.675,0,2563725.675,94.5261,480963842.2,5, BiCRS 2050 gasification H2 ,765,183236,36.75113068,-107.6888427,26181,0,0,0,0,2619,0,0,0,0,0,0,0,0,0,0,7383,187199,0,0,0,598266,0,0,0,0,0,0,0,900,4099,15688,71583,0,0,87271,43585,0,0,45500.24742,810299.1814,87271
New Mexico,99,183236,149711100.2,60048699.68,189511909.1,65321126.12,38345181.94,0,0,13307775.67,516245792.7,273822716.7,242423076,0,0,0,65489.92652,32464.19173,0,2661555.134,0,0,-2563601.016,0,2563601.016,94.5635,480963842.2,5, BiCRS 2050 gasification H2 ,1047,183236,36.75113068,-107.6888427,26181,0,0,0,0,2619,0,0,0,0,0,0,0,0,0,0,5050,189532,0,0,0,598266,0,0,0,0,0,0,0,900,4099,15688,71583,0,0,87271,43585,0,0,45500.24742,810299.1814,87271
Colorado,75,145183,50303605.81,31664097.4,189511909.1,65321126.12,37475952.9,0,0,15533308.46,389809999.8,278302936.5,111507063.3,0,0,0,81311.37967,16937.89917,0,2588884.743,0,0,-2490635.464,0,2490635.464,44.7705,483203952.1,5, BiCRS 2050 gasification H2 ,274,145183,40.03442322,-104.9016649,288,0,407164.6695,0,0,27,0,0,0,0,0,0,0,471934.9593,0,0,0,10922,0,0,0,4020,0,0,0,0,0,0,0,15,29477,5334,83701,0,0,89035,151804,0,0,145926.1452,502688.3324,89035
Colorado,90,145183,62154719.42,36679121.7,189511909.1,65321126.12,37200575.26,0,0,15394299.45,406261751.1,273105146.6,133156604.5,0,0,0,89857.51565,19711.18202,0,2565716.575,0,0,-2456147.877,0,2456147.877,54.2136,480605057.1,5, BiCRS 2050 gasification H2 ,551,145183,40.03442322,-104.9016649,0,0,292065.5594,0,0,17,0,0,0,0,0,0,0,520678.786,0,0,0,10922,0,0,0,4020,0,0,0,0,0,0,0,0,14951,5334,83701,0,0,89035,78123,0,0,88089.64004,715400.121,89035
Colorado,99,145183,62061702.73,36809233.91,189511909.1,65321126.12,37200048.93,0,0,15394035.98,406298056.8,273117933.2,133180123.6,0,0,0,89853.24295,19783.06911,0,2565672.664,0,0,-2456036.352,0,2456036.352,54.2256,480611450.4,5, BiCRS 2050 gasification H2 ,871,145183,40.03442322,-104.9016649,0,0,292065.5594,0,0,17,0,0,0,0,0,0,0,521351.6209,0,0,0,10922,0,0,0,4020,0,0,0,0,0,0,0,0,14951,5334,83701,0,0,89035,78123,0,0,88089.64004,714727.2862,89035
Colorado,75,133471,107437685,41711400.2,189511909.1,65321126.12,37719872.88,0,0,15655868.02,457357861.4,272912410,184445451.4,0,0,0,91102.67656,18524.98812,0,2609311.336,0,0,-2499683.671,0,2499683.671,73.7875,480508688.8,5, BiCRS 2050 gasification H2 ,392,133471,40.95684721,-105.021207,0,0,621001.5997,0,0,254,0,0,0,0,0,0,0,158410.3467,0,0,0,9515,0,0,0,188,0,0,0,0,0,0,0,45,14373,9728,95166,0,0,104894,73265,0,0,86038.96533,745317.1948,104894
